"cellID","usdyav","usdyav_pr","cellArea","parks","usdyav_est"
231,0,0,16237500,0,0.38248265498065
232,0,0,16237500,0,0.38248265498065
233,0,0,16237500,0,0.38248265498065
234,0.125,0.013,16237500,0,0.38248265498065
235,0.375,0.039,16237500,0,0.38248265498065
236,0,0,16237500,0,0.38248265498065
237,0.125,0.013,16237500,0,0.38248265498065
238,0,0,16237500,0,0.38248265498065
239,0.625,0.065,16237500,0,0.38248265498065
240,5.375,0.556,16237500,0,0.38248265498065
241,3.125,0.323,16237500,8657786.33498339,0.706166695512254
242,1.125,0.116,16237500,1646625.98171699,0.43891719674377
243,0.625,0.065,16237500,3961.3339389,0.382615729642855
244,0,0,16237500,0,0.38248265498065
245,4,0.413,16237500,0,0.38248265498065
246,0.125,0.013,16237500,0,0.38248265498065
247,0.625,0.065,16237500,0,0.38248265498065
248,0.625,0.065,16237500,0,0.38248265498065
249,0,0,16237500,0,0.38248265498065
250,0,0,16237500,0,0.38248265498065
251,1,0.103,16237500,0,0.38248265498065
252,0.5,0.052,16237500,0,0.38248265498065
253,0,0,16237500,0,0.38248265498065
254,0,0,16237500,0,0.38248265498065
255,0,0,16237500,0,0.38248265498065
256,0.25,0.026,16237500,805423.47497061,0.409804741876496
257,2.125,0.22,16237500,9822435.6287023,0.755138877798134
258,155.5,16.074,16237500,2593441.58681766,0.472404469131829
259,1.625,0.168,16237500,1576040.81704152,0.436451440243705
260,0.875,0.09,16237500,0,0.38248265498065
261,0.25,0.026,16237500,8811399.11671002,0.712546874976593
262,0.125,0.013,16237500,0,0.38248265498065
263,0.5,0.052,16237500,0,0.38248265498065
264,0.5,0.052,16237500,0,0.38248265498065
265,0.25,0.026,16237500,0,0.38248265498065
266,0.25,0.026,16237500,0,0.38248265498065
267,0.125,0.013,16237500,0,0.38248265498065
268,0,0,16237500,0,0.38248265498065
269,0.125,0.013,16237500,0,0.38248265498065
270,0.25,0.026,16237500,0,0.38248265498065
271,0,0,16237500,0,0.38248265498065
272,0,0,16237500,0,0.38248265498065
273,0.125,0.013,16237500,0,0.38248265498065
274,0.25,0.026,16237500,0,0.38248265498065
275,2.25,0.233,16237500,14036184.9892348,0.944362826746304
276,12.5,1.292,16237500,1092523.17635033,0.419673914179308
277,2.375,0.246,16237500,991024.33233452,0.416176978875153
278,1,0.103,16237500,0,0.38248265498065
279,0.25,0.026,16237500,159633.71492435,0.387855448874611
280,0.125,0.013,16237500,831044.45030209,0.410682678448752
281,3.625,0.375,16237500,0,0.38248265498065
282,1.125,0.116,16237500,0,0.38248265498065
283,0,0,16237500,0,0.38248265498065
284,0.125,0.013,16237500,0,0.38248265498065
285,0,0,16237500,0,0.38248265498065
286,0,0,16237500,0,0.38248265498065
287,1.875,0.194,16237500,0,0.38248265498065
288,0.125,0.013,16237500,0,0.38248265498065
289,0,0,16237500,0,0.38248265498065
290,0,0,16237500,0,0.38248265498065
291,0,0,16237500,0,0.38248265498065
292,0,0,16237500,0,0.38248265498065
293,2.125,0.22,16237500,8284429.78957032,0.690758559221133
294,2.375,0.246,16237500,10439642.3257189,0.781659033221978
295,8,0.827,16237500,2737091.28866305,0.477552763100056
296,1,0.103,16237500,0,0.38248265498065
297,0.25,0.026,16237500,0,0.38248265498065
298,0.125,0.013,16237500,9881183.94054086,0.757646084916712
299,0,0,16237500,114866.59739528,0.386346618183301
300,3.375,0.349,16237500,0,0.38248265498065
301,1.25,0.129,16237500,0,0.38248265498065
302,0,0,16237500,0,0.38248265498065
303,0.875,0.09,16237500,0,0.38248265498065
304,0,0,16237500,0,0.38248265498065
305,0,0,16237500,0,0.38248265498065
306,1,0.103,16237500,0,0.38248265498065
307,0.375,0.039,16237500,0,0.38248265498065
308,0,0,16237500,0,0.38248265498065
309,0,0,16237500,0,0.38248265498065
310,0.125,0.013,16237500,0,0.38248265498065
311,1,0.103,16237500,0,0.38248265498065
312,2.375,0.246,16237500,12679903.862685,0.881330420067856
313,2.875,0.297,16237500,1632966.66814957,0.438439704925211
314,1.125,0.116,16237500,0,0.38248265498065
315,0.625,0.065,16237500,0,0.38248265498065
316,0,0,16237500,0,0.38248265498065
317,0.25,0.026,16237500,12451148.8251468,0.870902380901681
318,1.375,0.142,16237500,5857627.01897545,0.593942403336164
319,0.25,0.026,16237500,0,0.38248265498065
320,0.125,0.013,16237500,0,0.38248265498065
321,0.125,0.013,16237500,0,0.38248265498065
322,0,0,16237500,0,0.38248265498065
323,0,0,16237500,0,0.38248265498065
324,6.5,0.672,16237500,0,0.38248265498065
325,0,0,16237500,0,0.38248265498065
326,0,0,16237500,0,0.38248265498065
327,0,0,16237500,0,0.38248265498065
328,0,0,16237500,0,0.38248265498065
329,0,0,16237500,0,0.38248265498065
330,1,0.103,16237500,2515945.15684361,0.469634510265114
331,0.75,0.078,16237500,1304789.10607083,0.427015040128511
332,0.625,0.065,16237500,0,0.38248265498065
333,0.125,0.013,16237500,0,0.38248265498065
334,0,0,16237500,0,0.38248265498065
335,0.25,0.026,16237500,2929.30551113,0.38258105906871
336,0.125,0.013,16237500,7197609.61545634,0.646693854378138
337,4.875,0.504,16237500,6827691.54552484,0.631959150653637
338,0,0,16237500,0,0.38248265498065
339,0.125,0.013,16237500,0,0.38248265498065
340,0.625,0.065,16237500,0,0.38248265498065
341,0.125,0.013,16237500,0,0.38248265498065
342,0.5,0.052,16237500,0,0.38248265498065
343,1.625,0.168,16237500,0,0.38248265498065
344,0,0,16237500,0,0.38248265498065
345,0,0,16237500,0,0.38248265498065
346,0,0,16237500,0,0.38248265498065
347,0,0,16237500,0,0.38248265498065
348,0.875,0.09,16237500,6774514.86712959,0.629851865679361
349,0.75,0.078,16237500,1547483.69440819,0.435455053240069
350,1,0.103,16237500,1294792.15586813,0.426668449625205
351,0.5,0.052,16237500,0,0.38248265498065
352,0.625,0.065,16237500,0,0.38248265498065
353,0,0,16237500,0,0.38248265498065
354,0,0,16237500,0,0.38248265498065
355,0.25,0.026,16237500,11828571.9830656,0.842813355698513
356,0.75,0.078,16237500,0,0.38248265498065
357,0.5,0.052,16237500,0,0.38248265498065
358,0.25,0.026,16237500,0,0.38248265498065
359,0.375,0.039,16237500,0,0.38248265498065
360,0.75,0.078,16237500,0,0.38248265498065
361,47,4.859,16237500,0,0.38248265498065
